"Gene_ID" "Entrez_Gene_ID" "Gene_Symbol" "Protein_ID" "Product" "Chrom" "Start" "End" "length" "Strand" "Type" "Locus_Tag"
"250" "Rv0175" 886801 "." "NP_214689.3" "Mce associated membrane protein" "NC_000962.3" 206814 207455 641 "+" "protein_coding" "Rv0175"
"251" "Rv0176" 886799 "." "NP_214690.1" "Mce associated transmembrane protein" "NC_000962.3" 207452 208420 968 "+" "protein_coding" "Rv0176"
"252" "Rv0177" 886795 "." "NP_214691.1" "Mce associated protein" "NC_000962.3" 208417 208971 554 "+" "protein_coding" "Rv0177"
"253" "Rv0178" 886814 "." "NP_214692.1" "Mce associated membrane protein" "NC_000962.3" 208938 209672 734 "+" "protein_coding" "Rv0178"
"254" "Rv0179c" 886796 "lprO" "NP_214693.1" "lipoprotein LprO" "NC_000962.3" 209703 210812 1109 "-" "protein_coding" "Rv0179c"
"255" "Rv0180c" 886792 "." "NP_214694.1" "transmembrane protein" "NC_000962.3" 210892 212250 1358 "-" "protein_coding" "Rv0180c"
"256" "Rv0181c" 886788 "." "NP_214695.1" "hypothetical protein" "NC_000962.3" 212277 213011 734 "-" "protein_coding" "Rv0181c"
"257" "Rv0182c" 886786 "sigG" "NP_214696.1" "ECF RNA polymerase sigma factor SigG" "NC_000962.3" 213028 214140 1112 "-" "protein_coding" "Rv0182c"
"258" "Rv0183" 886785 "." "NP_214697.2" "lysophospholipase" "NC_000962.3" 214088 214927 839 "+" "protein_coding" "Rv0183"
"259" "Rv0184" 886806 "." "NP_214698.1" "hypothetical protein" "NC_000962.3" 214969 215718 749 "+" "protein_coding" "Rv0184"
"260" "Rv0185" 886782 "." "NP_214699.1" "hypothetical protein" "NC_000962.3" 215715 216224 509 "+" "protein_coding" "Rv0185"
"262" "Rv0186" 886780 "bglS" "NP_214700.1" "beta-glucosidase BglS" "NC_000962.3" 216269 218344 2075 "+" "protein_coding" "Rv0186"
"261" "Rv0186A" 14515880 "mymT" "YP_004837046.2" "metallothionein" "NC_000962.3" 218390 218551 161 "-" "protein_coding" "Rv0186A"
"263" "Rv0187" 886779 "." "NP_214701.1" "O-methyltransferase" "NC_000962.3" 218705 219367 662 "+" "protein_coding" "Rv0187"
"264" "Rv0188" 886776 "." "NP_214702.1" "transmembrane protein" "NC_000962.3" 219486 219917 431 "+" "protein_coding" "Rv0188"
"265" "Rv0189c" 886774 "ilvD" "NP_214703.1" "dihydroxy-acid dehydratase" "NC_000962.3" 219996 221723 1727 "-" "protein_coding" "Rv0189c"
"266" "Rv0190" 886772 "." "NP_214704.1" "hypothetical protein" "NC_000962.3" 221871 222161 290 "+" "protein_coding" "Rv0190"
"267" "Rv0191" 886770 "." "NP_214705.1" "MFS-type transporter" "NC_000962.3" 222289 223530 1241 "+" "protein_coding" "Rv0191"
"268" "Rv0192" 886768 "." "NP_214706.1" "hypothetical protein" "NC_000962.3" 223564 224664 1100 "+" "protein_coding" "Rv0192"
"269" "Rv0193c" 886764 "." "NP_214707.1" "hypothetical protein" "NC_000962.3" 224724 226571 1847 "-" "protein_coding" "Rv0193c"
"270" "Rv0194" 886790 "." "NP_214708.1" "multidrug ABC transporter ATPase/permease" "NC_000962.3" 226878 230462 3584 "+" "protein_coding" "Rv0194"
"271" "Rv0195" 886762 "." "NP_214709.1" "two component transcriptional regulator" "NC_000962.3" 230899 231534 635 "+" "protein_coding" "Rv0195"
"272" "Rv0196" 886760 "." "NP_214710.1" "HTH-type transcriptional regulator" "NC_000962.3" 231647 232231 584 "+" "protein_coding" "Rv0196"
"273" "Rv0197" 886758 "." "NP_214711.1" "oxidoreductase" "NC_000962.3" 232231 234519 2288 "+" "protein_coding" "Rv0197"
"274" "Rv0198c" 886755 "zmp1" "NP_214712.1" "zinc metalloprotease" "NC_000962.3" 234516 236507 1991 "-" "protein_coding" "Rv0198c"
"275" "Rv0199" 886753 "." "NP_214713.1" "membrane protein" "NC_000962.3" 236550 237209 659 "+" "protein_coding" "Rv0199"
"276" "Rv0200" 886803 "." "NP_214714.1" "transmembrane protein" "NC_000962.3" 237206 237895 689 "+" "protein_coding" "Rv0200"
"277" "Rv0201c" 886756 "." "NP_214715.1" "hypothetical protein" "NC_000962.3" 237892 238395 503 "-" "protein_coding" "Rv0201c"
"278" "Rv0202c" 886750 "mmpL11" "NP_214716.1" "transmembrane transport protein MmpL11" "NC_000962.3" 238392 241292 2900 "-" "protein_coding" "Rv0202c"
"279" "Rv0203" 886748 "." "NP_214717.1" "hypothetical protein" "NC_000962.3" 241514 241924 410 "+" "protein_coding" "Rv0203"
"280" "Rv0204c" 886747 "." "NP_214718.2" "transmembrane protein" "NC_000962.3" 241976 243214 1238 "-" "protein_coding" "Rv0204c"
"281" "Rv0205" 886766 "." "NP_214719.1" "transmembrane protein" "NC_000962.3" 243384 244487 1103 "+" "protein_coding" "Rv0205"
"282" "Rv0206c" 886752 "mmpL3" "NP_214720.1" "transmembrane transport protein MmpL3" "NC_000962.3" 244484 247318 2834 "-" "protein_coding" "Rv0206c"
"283" "Rv0207c" 886742 "." "NP_214721.1" "hypothetical protein" "NC_000962.3" 247384 248112 728 "-" "protein_coding" "Rv0207c"
"284" "Rv0208c" 886740 "." "NP_214722.1" "tRNA (guanine-N(7)-)-methyltransferase" "NC_000962.3" 248115 248906 791 "-" "protein_coding" "Rv0208c"
"285" "Rv0209" 886739 "." "NP_214723.1" "hypothetical protein" "NC_000962.3" 249038 250123 1085 "+" "protein_coding" "Rv0209"
"286" "Rv0210" 886735 "." "NP_214724.1" "hypothetical protein" "NC_000962.3" 250120 251598 1478 "+" "protein_coding" "Rv0210"
"287" "Rv0211" 886744 "pckA" "NP_214725.1" "phosphoenolpyruvate carboxykinase" "NC_000962.3" 251782 253602 1820 "+" "protein_coding" "Rv0211"
"288" "Rv0212c" 886734 "nadR" "NP_214726.1" "transcriptional regulator NadR" "NC_000962.3" 253669 254640 971 "-" "protein_coding" "Rv0212c"
"289" "Rv0213c" 886746 "." "NP_214727.1" "methyltransferase" "NC_000962.3" 254637 255950 1313 "-" "protein_coding" "Rv0213c"
"290" "Rv0214" 886737 "fadD4" "NP_214728.1" "fatty-acid--CoA ligase FadD4" "NC_000962.3" 256064 257677 1613 "+" "protein_coding" "Rv0214"
"291" "Rv0216" 886729 "." "NP_214730.1" "hydratase" "NC_000962.3" 258913 259926 1013 "+" "protein_coding" "Rv0216"
"292" "Rv0217c" 886726 "lipW" "NP_214731.1" "esterase LipW" "NC_000962.3" 259923 260831 908 "-" "protein_coding" "Rv0217c"
"293" "Rv0218" 886727 "." "NP_214732.1" "transmembrane protein" "NC_000962.3" 260924 262252 1328 "+" "protein_coding" "Rv0218"
"294" "Rv0219" 886725 "." "NP_214733.1" "transmembrane protein" "NC_000962.3" 262254 262802 548 "+" "protein_coding" "Rv0219"
"295" "Rv0220" 886722 "lipC" "NP_214734.1" "esterase LipC" "NC_000962.3" 262812 264023 1211 "+" "protein_coding" "Rv0220"
"296" "Rv0221" 886719 "." "NP_214735.1" "diacyglycerol O-acyltransferase" "NC_000962.3" 264067 265476 1409 "+" "protein_coding" "Rv0221"
"297" "Rv0222" 886723 "echA1" "NP_214736.1" "enoyl-CoA hydratase EchA1" "NC_000962.3" 265507 266295 788 "+" "protein_coding" "Rv0222"
"298" "Rv0223c" 886718 "." "NP_214737.1" "aldehyde dehydrogenase" "NC_000962.3" 266301 267764 1463 "-" "protein_coding" "Rv0223c"
"299" "Rv0224c" 886715 "." "NP_214738.1" "methyltransferase" "NC_000962.3" 267863 268627 764 "-" "protein_coding" "Rv0224c"
"300" "Rv0225" 886713 "." "NP_214739.1" "hypothetical protein" "NC_000962.3" 268663 269817 1154 "+" "protein_coding" "Rv0225"
"301" "Rv0226c" 886711 "." "NP_214740.1" "transmembrane protein" "NC_000962.3" 269834 271564 1730 "-" "protein_coding" "Rv0226c"
"302" "Rv0227c" 886710 "." "NP_214741.1" "membrane protein" "NC_000962.3" 271574 272839 1265 "-" "protein_coding" "Rv0227c"
"303" "Rv0228" 886708 "." "NP_214742.1" "acyltransferase" "NC_000962.3" 273055 274278 1223 "+" "protein_coding" "Rv0228"
"304" "Rv0229c" 886724 "." "NP_214743.2" "hypothetical protein" "NC_000962.3" 274306 274986 680 "-" "protein_coding" "Rv0229c"
"305" "Rv0230c" 886705 "php" "NP_214744.1" "phosphotriesterase" "NC_000962.3" 274983 275963 980 "-" "protein_coding" "Rv0230c"
"306" "Rv0231" 886703 "fadE4" "NP_214745.1" "acyl-CoA dehydrogenase FadE4" "NC_000962.3" 276058 277764 1706 "+" "protein_coding" "Rv0231"
"307" "Rv0232" 886701 "." "NP_214746.1" "transcriptional regulator" "NC_000962.3" 277899 278588 689 "+" "protein_coding" "Rv0232"
"308" "Rv0233" 886699 "nrdB" "NP_214747.1" "ribonucleoside-diphosphate reductase subunit beta NrdB" "NC_000962.3" 278585 279529 944 "+" "protein_coding" "Rv0233"
"309" "Rv0234c" 886732 "gabD1" "NP_216247.2" "succinate-semialdehyde dehydrogenase" "NC_000962.3" 279605 281140 1535 "-" "protein_coding" "Rv0234c"
"310" "Rv0235c" 886695 "." "NP_214749.1" "transmembrane protein" "NC_000962.3" 281166 282614 1448 "-" "protein_coding" "Rv0235c"
"311" "Rv0236A" 3205106 "." "YP_177619.1" "hypothetical protein" "NC_000962.3" 286898 287071 173 "-" "protein_coding" "Rv0236A"
"312" "Rv0236c" 886707 "aftD" "NP_214750.1" "alpha-(1->3)-arabinofuranosyltransferase" "NC_000962.3" 282649 286851 4202 "-" "protein_coding" "Rv0236c"
"313" "Rv0237" 886693 "lpqI" "YP_177702.1" "lipoprotein LpqI" "NC_000962.3" 287186 288352 1166 "+" "protein_coding" "Rv0237"
"314" "Rv0238" 886691 "." "NP_214752.1" "transcriptional regulator" "NC_000962.3" 288428 289042 614 "+" "protein_coding" "Rv0238"
"315" "Rv0239" 886689 "vapB24" "NP_214753.1" "antitoxin VapB24" "NC_000962.3" 289104 289337 233 "+" "protein_coding" "Rv0239"
"316" "Rv0240" 886688 "vapC24" "NP_214754.1" "ribonuclease VapC24" "NC_000962.3" 289345 289782 437 "+" "protein_coding" "Rv0240"
"317" "Rv0241c" 886686 "htdX" "NP_214755.1" "3-hydroxyacyl-thioester dehydratase HtdX" "NC_000962.3" 289812 290654 842 "-" "protein_coding" "Rv0241c"
"318" "Rv0242c" 886697 "fabG4" "NP_214756.1" "3-oxoacyl-ACP reductase FabG" "NC_000962.3" 290665 292029 1364 "-" "protein_coding" "Rv0242c"
"319" "Rv0243" 886682 "fadA2" "NP_214757.1" "acetyl-CoA acetyltransferase FadA" "NC_000962.3" 292171 293493 1322 "+" "protein_coding" "Rv0243"
"320" "Rv0244c" 886698 "fadE5" "NP_214758.1" "acyl-CoA dehydrogenase FadE5" "NC_000962.3" 293798 295633 1835 "-" "protein_coding" "Rv0244c"
"321" "Rv0245" 886680 "." "NP_214759.1" "oxidoreductase" "NC_000962.3" 296005 296493 488 "+" "protein_coding" "Rv0245"
"322" "Rv0246" 886678 "." "NP_214760.1" "integral membrane protein" "NC_000962.3" 296809 298119 1310 "+" "protein_coding" "Rv0246"
"323" "Rv0247c" 886677 "." "NP_214761.1" "succinate dehydrogenase iron-sulfur subunit" "NC_000962.3" 298116 298862 746 "-" "protein_coding" "Rv0247c"
"324" "Rv0248c" 886675 "." "NP_214762.1" "succinate dehydrogenase flavoprotein subunit" "NC_000962.3" 298863 300803 1940 "-" "protein_coding" "Rv0248c"
"325" "Rv0249c" 886671 "." "NP_214763.1" "succinate dehydrogenase membrane anchor subunit" "NC_000962.3" 300834 301655 821 "-" "protein_coding" "Rv0249c"
"326" "Rv0250c" 886669 "." "NP_214764.1" "hypothetical protein" "NC_000962.3" 301735 302028 293 "-" "protein_coding" "Rv0250c"
"327" "Rv0251c" 886667 "hsp" "NP_214765.1" "heat shock protein" "NC_000962.3" 302173 302652 479 "-" "protein_coding" "Rv0251c"
"328" "Rv0252" 886665 "nirB" "NP_214766.1" "nitrite reductase large subunit NirB" "NC_000962.3" 302866 305427 2561 "+" "protein_coding" "Rv0252"
"329" "Rv0253" 886664 "nirD" "NP_214767.1" "nitrite reductase small subunit NirD" "NC_000962.3" 305453 305809 356 "+" "protein_coding" "Rv0253"
"330" "Rv0254c" 886661 "cobU" "NP_214768.1" "bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase" "NC_000962.3" 305825 306349 524 "-" "protein_coding" "Rv0254c"
"331" "Rv0255c" 886673 "cobQ1" "YP_177703.1" "cobyric acid synthase" "NC_000962.3" 306374 307858 1484 "-" "protein_coding" "Rv0255c"
"332" "Rv0256c" 886684 "PPE2" "YP_177704.1" "PPE family protein PPE2" "NC_000962.3" 307877 309547 1670 "-" "protein_coding" "Rv0256c"
"333" "Rv0257" 3205110 "." "YP_177620.1" "hypothetical protein" "NC_000962.3" 309699 310073 374 "+" "protein_coding" "Rv0257"
"334" "Rv0258c" 886654 "." "NP_214772.1" "hypothetical protein" "NC_000962.3" 310294 310749 455 "-" "protein_coding" "Rv0258c"
"335" "Rv0259c" 886657 "." "NP_214773.1" "hypothetical protein" "NC_000962.3" 310774 311517 743 "-" "protein_coding" "Rv0259c"
"336" "Rv0260c" 886651 "." "NP_214774.1" "transcriptional regulator" "NC_000962.3" 311514 312659 1145 "-" "protein_coding" "Rv0260c"
"337" "Rv0261c" 886663 "narK3" "NP_214775.1" "nitrate/nitrite transporter" "NC_000962.3" 312759 314168 1409 "-" "protein_coding" "Rv0261c"
"338" "Rv0262c" 886648 "aac" "NP_214776.1" "aminoglycoside 2'-N-acetyltransferase" "NC_000962.3" 314309 314854 545 "-" "protein_coding" "Rv0262c"
"339" "Rv0263c" 886659 "." "NP_214777.1" "hypothetical protein" "NC_000962.3" 314864 315766 902 "-" "protein_coding" "Rv0263c"
"340" "Rv0264c" 886646 "." "NP_214778.1" "hypothetical protein" "NC_000962.3" 315783 316415 632 "-" "protein_coding" "Rv0264c"
"341" "Rv0265c" 886650 "." "YP_177705.1" "iron ABC transporter substrate-binding lipoprotein" "NC_000962.3" 316511 317503 992 "-" "protein_coding" "Rv0265c"
"342" "Rv0266c" 886642 "oplA" "NP_214780.1" "5-oxoprolinase OplA" "NC_000962.3" 317525 321154 3629 "-" "protein_coding" "Rv0266c"
"343" "Rv0267" 886644 "narU" "NP_214781.1" "nitrite extrusion protein NarU" "NC_000962.3" 321331 322722 1391 "+" "protein_coding" "Rv0267"
"344" "Rv0268c" 886647 "." "NP_214782.1" "hypothetical protein" "NC_000962.3" 322764 323273 509 "-" "protein_coding" "Rv0268c"
"345" "Rv0269c" 886640 "." "NP_214783.1" "hypothetical protein" "NC_000962.3" 323338 324531 1193 "-" "protein_coding" "Rv0269c"
"346" "Rv0270" 886637 "fadD2" "NP_214784.1" "fatty-acid--CoA ligase FadD2" "NC_000962.3" 324567 326249 1682 "+" "protein_coding" "Rv0270"
"347" "Rv0271c" 886641 "fadE6" "NP_214785.1" "acyl-CoA dehydrogenase FadE6" "NC_000962.3" 326266 328461 2195 "-" "protein_coding" "Rv0271c"
"348" "Rv0272c" 886635 "." "NP_214786.1" "hypothetical protein" "NC_000962.3" 328575 329708 1133 "-" "protein_coding" "Rv0272c"
"349" "Rv0273c" 886633 "." "NP_214787.1" "transcriptional regulator" "NC_000962.3" 329705 330325 620 "-" "protein_coding" "Rv0273c"
"350" "Rv0274" 886631 "." "NP_214788.1" "hypothetical protein" "NC_000962.3" 330422 331003 581 "+" "protein_coding" "Rv0274"
"351" "Rv0275c" 886629 "." "YP_177706.1" "transcriptional regulator" "NC_000962.3" 330933 331658 725 "-" "protein_coding" "Rv0275c"
"352" "Rv0276" 886627 "." "NP_214790.1" "hypothetical protein" "NC_000962.3" 331748 332668 920 "+" "protein_coding" "Rv0276"
"353" "Rv0277c" 886625 "vapC25" "NP_214791.1" "ribonuclease VapC25" "NC_000962.3" 332708 333136 428 "-" "protein_coding" "Rv0277c"
"354" "Rv0278c" 886623 "." "YP_177707.1" "PE-PGRS family protein PE_PGRS3" "NC_000962.3" 333437 336310 2873 "-" "protein_coding" "Rv0278c"
"355" "Rv0279c" 886621 "PE_PGRS4" "YP_177708.1" "PE-PGRS family protein PE_PGRS4" "NC_000962.3" 336560 339073 2513 "-" "protein_coding" "Rv0279c"
"356" "Rv0280" 886619 "PPE3" "YP_177709.1" "PPE family protein PPE3" "NC_000962.3" 339364 340974 1610 "+" "protein_coding" "Rv0280"
"357" "Rv0281" 886618 "." "NP_214795.1" "S-adenosylmethionine-dependent methyltransferase" "NC_000962.3" 340998 341906 908 "+" "protein_coding" "Rv0281"
"358" "Rv0282" 886613 "eccA3" "NP_214796.1" "ESX-3 secretion system protein EccA" "NC_000962.3" 342130 344025 1895 "+" "protein_coding" "Rv0282"
"359" "Rv0283" 886645 "eccB3" "NP_214797.1" "ESX-3 secretion system protein EccB3" "NC_000962.3" 344022 345638 1616 "+" "protein_coding" "Rv0283"
"360" "Rv0284" 886611 "eccC3" "NP_214798.1" "ESX-3 secretion system protein EccC3" "NC_000962.3" 345635 349627 3992 "+" "protein_coding" "Rv0284"
"361" "Rv0285" 886608 "PE5" "YP_177710.1" "PE family protein PE5" "NC_000962.3" 349624 349932 308 "+" "protein_coding" "Rv0285"
"362" "Rv0286" 886607 "PPE4" "YP_177711.1" "PPE family protein PPE4" "NC_000962.3" 349935 351476 1541 "+" "protein_coding" "Rv0286"
"363" "Rv0287" 886604 "esxG" "NP_214801.1" "ESAT-6 like protein EsxG" "NC_000962.3" 351525 351818 293 "+" "protein_coding" "Rv0287"
"364" "Rv0288" 886603 "esxH" "NP_214802.1" "ESAT-6-like protein EsxH" "NC_000962.3" 351848 352138 290 "+" "protein_coding" "Rv0288"
"365" "Rv0289" 886602 "espG3" "NP_214803.1" "ESX-3 secretion-associated protein EspG3" "NC_000962.3" 352149 353036 887 "+" "protein_coding" "Rv0289"
"366" "Rv0290" 886599 "eccD3" "NP_214804.1" "ESX-3 secretion system protein EccD" "NC_000962.3" 353083 354501 1418 "+" "protein_coding" "Rv0290"
"367" "Rv0291" 886615 "mycP3" "NP_214805.1" "membrane-anchored mycosin MycP" "NC_000962.3" 354498 355883 1385 "+" "protein_coding" "Rv0291"
"368" "Rv0292" 886601 "eccE3" "NP_214806.1" "ESX-3 secretion system protein EccE" "NC_000962.3" 355880 356875 995 "+" "protein_coding" "Rv0292"
"369" "Rv0293c" 886594 "." "NP_214807.1" "hypothetical protein" "NC_000962.3" 356862 358064 1202 "-" "protein_coding" "Rv0293c"
"370" "Rv0294" 886593 "tam" "NP_214808.1" "trans-aconitate methyltransferase" "NC_000962.3" 358171 358956 785 "+" "protein_coding" "Rv0294"
"371" "Rv0295c" 886596 "." "NP_214809.1" "hypothetical protein" "NC_000962.3" 358945 359748 803 "-" "protein_coding" "Rv0295c"
"372" "Rv0296c" 886600 "." "YP_177712.1" "sulfatase" "NC_000962.3" 359758 361155 1397 "-" "protein_coding" "Rv0296c"
"373" "Rv0297" 885981 "PE_PGRS5" "YP_177713.1" "PE-PGRS family protein PE_PGRS5" "NC_000962.3" 361334 363109 1775 "+" "protein_coding" "Rv0297"
"374" "Rv0298" 886590 "." "NP_214812.1" "antitoxin" "NC_000962.3" 363252 363479 227 "+" "protein_coding" "Rv0298"
"375" "Rv0299" 886598 "." "NP_214813.1" "toxin" "NC_000962.3" 363476 363778 302 "+" "protein_coding" "Rv0299"
"376" "Rv0300" 886588 "vapB2" "NP_214814.1" "antitoxin VapB2" "NC_000962.3" 363826 364047 221 "+" "protein_coding" "Rv0300"
"377" "Rv0301" 886586 "vapC2" "NP_214815.1" "ribonuclease VapC2" "NC_000962.3" 364044 364469 425 "+" "protein_coding" "Rv0301"
"378" "Rv0302" 886584 "." "NP_214816.1" "transcriptional regulator" "NC_000962.3" 364605 365237 632 "+" "protein_coding" "Rv0302"
"379" "Rv0303" 886581 "." "NP_214817.1" "dehydrogenase/reductase" "NC_000962.3" 365234 366142 908 "+" "protein_coding" "Rv0303"
"380" "Rv0304c" 886592 "PPE5" "YP_177714.1" "PPE family protein PPE5" "NC_000962.3" 366150 372764 6614 "-" "protein_coding" "Rv0304c"
"381" "Rv0305c" 885978 "PPE6" "YP_177715.1" "PPE family protein PPE6" "NC_000962.3" 372820 375711 2891 "-" "protein_coding" "Rv0305c"
"382" "Rv0306" 886577 "." "NP_214820.1" "oxidoreductase" "NC_000962.3" 375914 376585 671 "+" "protein_coding" "Rv0306"
"383" "Rv0307c" 886580 "." "NP_214821.1" "hypothetical protein" "NC_000962.3" 376573 377055 482 "-" "protein_coding" "Rv0307c"
"384" "Rv0308" 886583 "." "NP_214822.1" "integral membrane protein" "NC_000962.3" 377113 377829 716 "+" "protein_coding" "Rv0308"
"385" "Rv0309" 886574 "." "NP_214823.1" "hypothetical protein" "NC_000962.3" 377931 378587 656 "+" "protein_coding" "Rv0309"
"386" "Rv0310c" 886570 "." "NP_214824.1" "hypothetical protein" "NC_000962.3" 378657 379148 491 "-" "protein_coding" "Rv0310c"
"387" "Rv0311" 886579 "." "NP_214825.1" "hypothetical protein" "NC_000962.3" 379172 380401 1229 "+" "protein_coding" "Rv0311"
"388" "Rv0312" 886566 "." "NP_214826.1" "hypothetical protein" "NC_000962.3" 380556 382418 1862 "+" "protein_coding" "Rv0312"
"389" "Rv0313" 886572 "." "NP_214827.1" "hypothetical protein" "NC_000962.3" 382490 382876 386 "+" "protein_coding" "Rv0313"
"390" "Rv0314c" 886564 "." "NP_214828.1" "membrane protein" "NC_000962.3" 382879 383541 662 "-" "protein_coding" "Rv0314c"
"391" "Rv0315" 886563 "." "NP_214829.1" "beta-1,3-glucanase" "NC_000962.3" 383602 384486 884 "+" "protein_coding" "Rv0315"
"392" "Rv0316" 886560 "." "NP_214830.1" "muconolactone isomerase" "NC_000962.3" 384535 385149 614 "+" "protein_coding" "Rv0316"
"393" "Rv0317c" 886559 "glpQ2" "NP_214831.1" "glycerophosphoryl diester phosphodiesterase GlpQ" "NC_000962.3" 385173 385943 770 "-" "protein_coding" "Rv0317c"
"394" "Rv0318c" 886576 "." "YP_177716.1" "integral membrane protein" "NC_000962.3" 386305 387099 794 "-" "protein_coding" "Rv0318c"
"395" "Rv0319" 886555 "pcp" "NP_214833.1" "pyrrolidone-carboxylate peptidase" "NC_000962.3" 387148 387816 668 "+" "protein_coding" "Rv0319"
"396" "Rv0320" 886553 "." "NP_214834.1" "hypothetical protein" "NC_000962.3" 387888 388550 662 "+" "protein_coding" "Rv0320"
"397" "Rv0321" 886552 "dcd" "NP_214835.1" "deoxycytidine triphosphate deaminase" "NC_000962.3" 388582 389154 572 "+" "protein_coding" "Rv0321"
"398" "Rv0322" 886550 "udgA" "NP_214836.1" "UDP-glucose 6-dehydrogenase UdgA" "NC_000962.3" 389260 390591 1331 "+" "protein_coding" "Rv0322"
"399" "Rv0323c" 886557 "." "NP_214837.1" "hypothetical protein" "NC_000962.3" 390580 391251 671 "-" "protein_coding" "Rv0323c"
"400" "Rv0324" 886548 "." "NP_214838.1" "transcriptional regulator" "NC_000962.3" 391352 392032 680 "+" "protein_coding" "Rv0324"
"401" "Rv0325" 886546 "." "NP_214839.1" "hypothetical protein" "NC_000962.3" 392039 392263 224 "+" "protein_coding" "Rv0325"
"402" "Rv0326" 886544 "." "NP_214840.1" "hypothetical protein" "NC_000962.3" 392273 392728 455 "+" "protein_coding" "Rv0326"
"403" "Rv0327c" 886538 "cyp135A1" "NP_214841.1" "cytochrome P450 Cyp135A1" "NC_000962.3" 392696 394045 1349 "-" "protein_coding" "Rv0327c"
"404" "Rv0328" 886542 "." "NP_214842.1" "transcriptional regulator" "NC_000962.3" 394111 394713 602 "+" "protein_coding" "Rv0328"
"405" "Rv0329c" 886536 "." "NP_214843.1" "hypothetical protein" "NC_000962.3" 394694 395320 626 "-" "protein_coding" "Rv0329c"
"406" "Rv0330c" 886540 "." "NP_214844.1" "hypothetical protein" "NC_000962.3" 395347 396087 740 "-" "protein_coding" "Rv0330c"
"407" "Rv0331" 886534 "." "NP_214845.1" "dehydrogenase/reductase" "NC_000962.3" 396201 397367 1166 "+" "protein_coding" "Rv0331"
"408" "Rv0332" 886532 "." "NP_214846.1" "hypothetical protein" "NC_000962.3" 397442 398227 785 "+" "protein_coding" "Rv0332"
"409" "Rv0333" 886528 "." "NP_214847.1" "hypothetical protein" "NC_000962.3" 398254 398628 374 "+" "protein_coding" "Rv0333"
"410" "Rv0334" 886568 "rmlA" "NP_214848.1" "glucose-1-phosphate thymidylyltransferase" "NC_000962.3" 398658 399524 866 "+" "protein_coding" "Rv0334"
